DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V03_0001,"Stewart, Robert","ROBERT STEWART TO LORD DARTMOUTH My Lord,",Robert Stewart,ROBERT STEWART,title,/TaggedPDF-doc/doc[1]/title/aut
NDAR_V03_0002,"Scotia, Executive Council of Nova",MINUTES OF THE EXECUTIVE COUNCIL OF NOVA SCOTIA At a Council aHolden at Halifax o,Executive Council of Nova Scotia,EXECUTIVE COUNCIL OF NOVA SCOTIA,title,/TaggedPDF-doc/doc[2]/title/aut
NDAR_V03_0003,"Perkins, Simeon","DIARY OF SIMEON PERKINS , LIVERPOOL, NOVA SCOTIA Friday, D",Simeon Perkins,SIMEON PERKINS,title,/TaggedPDF-doc/doc[3]/title/aut
NDAR_V03_0004,"Yarmouth, Inhabitants of",INHABITANTS OF YARMOUTH TO GOVERNOR FRANCIS LEGGE Yarmout,Inhabitants of Yarmouth,INHABITANTS OF YARMOUTH,title,/TaggedPDF-doc/doc[4]/title/aut
NDAR_V03_0005,"Duddingston, William","JOURNAL OF H.M. SLOOP SENEGAL, CAPTAIN WILLIAM DUDDINGSTON Decemr 1775 Friday 8 Cape Sable W",William Duddingston,WILLIAM DUDDINGSTON,title,/TaggedPDF-doc/doc[5]/title/aut
NDAR_V03_0006,"Jones, Thomas",THOMAS JONES AND OTHERS TO BENJAMIN GREENLEAF,Thomas Jones,THOMAS JONES,title,/TaggedPDF-doc/doc[6]/title/aut[1]
NDAR_V03_0006,Others,THOMAS JONES AND OTHERS TO BENJAMIN GREENLEAF Sir:,Others,OTHERS,title,/TaggedPDF-doc/doc[6]/title/aut[2]
NDAR_V03_0007,"Titcomb, Jonathan",JONATHAN TITCOMB AND OTHERS TO BENJAMIN GREENLEAF,Jonathan Titcomb,JONATHAN TITCOMB,title,/TaggedPDF-doc/doc[7]/title/aut[1]
NDAR_V03_0007,Others,JONATHAN TITCOMB AND OTHERS TO BENJAMIN GREENLEAF Honoured Si,Others,OTHERS,title,/TaggedPDF-doc/doc[7]/title/aut[2]
NDAR_V03_0008,"Washington, George",GEORGE WASHINGTON TO WILLIAM RAMSAY [Extract],George Washington,GEORGE WASHINGTON,title,/TaggedPDF-doc/doc[8]/title/aut
NDAR_V03_0009,"Moylan, Stephen",STEPHEN MOYLAN TO COLONEL JOHN GLOVER Sir,Stephen Moylan,STEPHEN MOYLAN,title,/TaggedPDF-doc/doc[9]/title/aut
NDAR_V03_0010,"Moylan, Stephen","STEPHEN MOYLAN TO JOHN PICKERING, JR. Gentlemen,",Stephen Moylan,STEPHEN MOYLAN,title,/TaggedPDF-doc/doc[10]/title/aut
NDAR_V03_0011,"Graves, Vice Admiral Samuel","VICE ADMIRAL SAMUEL GRAVES TO COMMODORE MARRIOT ARBUTHNOT, HALIFAX",Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/doc[11]/title/aut
NDAR_V03_0012,"Robinson, John","JOURNAL OF H.M.S. PRESTON, CAPTAIN JOHN ROBINSON December [1775] Friday 8 Remarks",John Robinson,JOHN ROBINSON,title,/TaggedPDF-doc/doc[12]/title/aut
NDAR_V03_0013,"Graves, Vice Admiral Samuel",VICE ADMIRAL SAMUEL GRAVES 'S ORDER FOR SURVEY OF THE ARMED BRIG WA,Vice Admiral Samuel Graves,VICE ADMIRAL SAMUEL GRAVES,title,/TaggedPDF-doc/doc[13]/title/aut
NDAR_V03_0015,Carpenters,CARPENTERS ' SURVEY OF THE ARMED BRIG WASHINGTON,Carpenters,CARPENTERS,title,/TaggedPDF-doc/doc[15]/title/aut
NDAR_V03_0016,"Schuyler, General Philip (Major)",MAJOR GENERAL PHILIP SCHUYLER TO JOHN HANCOCK [Extract] A,Major General Philip Schuyler,MAJOR GENERAL PHILIP SCHUYLER,title,/TaggedPDF-doc/doc[16]/title/aut
NDAR_V03_0017,"Safety, Pennsylvania Committee of",MINUTES OF THE PENNSYLVANIA COMMITTEE OF SAFETY [Philadelphia] December 8th,Pennsylvania Committee of Safety,PENNSYLVANIA COMMITTEE OF SAFETY,title,/TaggedPDF-doc/doc[17]/title/aut
NDAR_V03_0018,"Hancock, John",JOHN HANCOCK TO GEORGE WASHINGTON [Extract],John Hancock,JOHN HANCOCK,title,/TaggedPDF-doc/doc[18]/title/aut
NDAR_V03_0019,"Woolsey, George","GEORGE WOOLSEY TO GEORGE SALMON, DUBLIN [Baltimo",George Woolsey,GEORGE WOOLSEY,title,/TaggedPDF-doc/doc[19]/title/aut
NDAR_V03_0020,"Salmon, Woolsey &","WOOLSEY & SALMON TO STEPHEN SKINNER, PERTH AMBOY B",Woolsey & Salmon,WOOLSEY & SALMON,title,/TaggedPDF-doc/doc[20]/title/aut
NDAR_V03_0021,"Convention, Virginia","JOURNAL OF THE VIRGINIA CONVENTION [Richmond] Friday, December 8, 17",Virginia Convention,VIRGINIA CONVENTION,title,/TaggedPDF-doc/doc[21]/title/aut
NDAR_V03_0023,"Safety, South Carolina Council of","MINUTES OF THE SOUTH CAROLINA COUNCIL OF SAFETY In the Council of Safety, Charles",South Carolina Council of Safety,SOUTH CAROLINA COUNCIL OF SAFETY,title,/TaggedPDF-doc/doc[23]/title/aut
NDAR_V03_0024,"Tonyn, Patrick","GOVERNOR PATRICK TONYN TO LIEUTENANT JOHN GRAVES, R.N. C",Patrick Tonyn,PATRICK TONYN,title,/TaggedPDF-doc/doc[24]/title/aut
NDAR_V03_0025,"Akerman, Simeon","ON BOARD BRIGANTINE DARTMOUTH, CAPTAIN SIMEON AKERMAN Names",Simeon Akerman,SIMEON AKERMAN,title,/TaggedPDF-doc/doc[25]/title/aut
NDAR_V03_0026,"Bartlett, William",WILLIAM BARTLETT TO GEORGE WASHINGTON Sir Be,William Bartlett,WILLIAM BARTLETT,title,/TaggedPDF-doc/doc[26]/title/aut
NDAR_V03_0027,"Bartlett, William",WILLIAM BARTLETT TO THE SALEM COMMITTEE OF SAFETY,William Bartlett,WILLIAM BARTLETT,title,/TaggedPDF-doc/doc[27]/title/aut
NDAR_V03_0028,"Jr., Richard Derby,","RICHARD DERBY, JR. TO THE SALEM COMMITTEE OF SAFETY","Richard Derby, Jr.","RICHARD DERBY, JR.",title,/TaggedPDF-doc/doc[28]/title/aut
NDAR_V03_0029,"Representatives, Massachusetts House of","JOURNAL OF THE MASSACHUSETTS HOUSE OF REPRESENTATIVES [Watertown] Saturday, December 9,",Massachusetts House of Representatives,MASSACHUSETTS HOUSE OF REPRESENTATIVES,title,/TaggedPDF-doc/doc[29]/title/aut
NDAR_V03_0030,"Price, George",COMMITMENT OF GEORGE PRICE Colony of the Masss Bay } Council,George Price,GEORGE PRICE,title,/TaggedPDF-doc/doc[30]/title/aut
NDAR_V03_0031,"Mowat, Henry","LIEUTENANT HENRY MOWAT , R.N., TO VICE ADMIRAL SAMUEL GRAVES",Henry Mowat,HENRY MOWAT,title,/TaggedPDF-doc/doc[31]/title/aut
NDAR_V03_0033,"Stiles, Ezra","DIARY OF DR. EZRA STILES [Newport, December] 9. Abou",Ezra Stiles,EZRA STILES,title,/TaggedPDF-doc/doc[33]/title/aut
NDAR_V03_0034,"Knox, Henry",COLONEL HENRY KNOX 'S LIST OF CANNON AT TICONDEROGA [,Henry Knox,HENRY KNOX,title,/TaggedPDF-doc/doc[34]/title/aut
NDAR_V03_0036,"Congress, New York Provincial","JOURNAL OF THE NEW YORK PROVINCIAL CONGRESS [New York] Die Sabbati, 10 HO.AM.",New York Provincial Congress,NEW YORK PROVINCIAL CONGRESS,title,/TaggedPDF-doc/doc[36]/title/aut
NDAR_V03_0037,"Congress, Continental","JOURNAL OF THE CONTINENTAL CONGRESS Saturday, December 9, 1775",Continental Congress,CONTINENTAL CONGRESS,title,/TaggedPDF-doc/doc[37]/title/aut
NDAR_V03_0038,"Co., Willing, Morris &","WILLING, MORRIS & CO. TO GREGORY & GUILLE Gentlemen","Willing, Morris & Co.","WILLING, MORRIS & CO.",title,/TaggedPDF-doc/doc[38]/title/aut
NDAR_V03_0039,"Hopkins, Stephen","STEPHEN HOPKINS TO NICHOLAS AND JOHN BROWN, PROVIDENCE",Stephen Hopkins,STEPHEN HOPKINS,title,/TaggedPDF-doc/doc[39]/title/aut
