DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V06_0001,"Bellew, Henry","JOURNAL OF H.M.S. LIVERPOOL, CAPTAIN HENRY BELLEW Augt 1776 Thursday 1st Cape Codd",Henry Bellew,HENRY BELLEW,title,/TaggedPDF-doc/doc[1]/title/aut
NDAR_V06_0002,"Whipple, Jabez",RHODE ISLAND SLOOP INDEPENDENCE CAPTAIN JABEZ WHIPPLE [1776] Thursday August 1 Daly Acc,Jabez Whipple,JABEZ WHIPPLE,title,/TaggedPDF-doc/doc[2]/title/aut
NDAR_V06_0003,"Jr., Nathaniel Shaw,","NATHANIEL SHAW, JR. TO GEORGE WASHINGTON Sir, N","Nathaniel Shaw, Jr.","NATHANIEL SHAW, JR.",title,/TaggedPDF-doc/doc[3]/title/aut
NDAR_V06_0004,"Ticonderoga, Officer at","""EXTRACT OF A LETTER FROM AN OFFICER AT TICONDEROGA , TO A GENTLEMAN IN THIS TOWN [BALTIMORE",Officer at Ticonderoga,OFFICER AT TICONDEROGA,title,/TaggedPDF-doc/doc[4]/title/aut
NDAR_V06_0005,"Schuyler, General Philip (Major)",MAJOR GENERAL PHILIP SCHUYLER TO JOHN HANCOCK [Extract] G,Major General Philip Schuyler,MAJOR GENERAL PHILIP SCHUYLER,title,/TaggedPDF-doc/doc[5]/title/aut
NDAR_V06_0006,"Washington, George",GEORGE WASHINGTON TO GOVERNOR JONATHAN TRUMBULL [Ex,George Washington,GEORGE WASHINGTON,title,/TaggedPDF-doc/doc[6]/title/aut
NDAR_V06_0007,"Heath, General William (Major)",MEMOIRS OF MAJOR GENERAL WILLIAM HEATH [New York] August 1st.ー Abo,Major General William Heath,MAJOR GENERAL WILLIAM HEATH,title,/TaggedPDF-doc/doc[7]/title/aut
NDAR_V06_0008,"Trumbull, Benjamin",CAPTAIN BENJAMIN TRUMBULL 'S JOURNAL OF THE CAMPAIGN AT NEW YORK,Benjamin Trumbull,BENJAMIN TRUMBULL,title,/TaggedPDF-doc/doc[8]/title/aut
NDAR_V06_0010,"Serle, Ambrose","JOURNAL OF AMBROSE SERLE [On board H.M.S. Eagle] Thursday,",Ambrose Serle,AMBROSE SERLE,title,/TaggedPDF-doc/doc[10]/title/aut
NDAR_V06_0011,"Moffat, Thomas",DIARY OF DR. THOMAS MOFFAT [On board H.M. Sloop Swan] Thursd,Thomas Moffat,THOMAS MOFFAT,title,/TaggedPDF-doc/doc[11]/title/aut
NDAR_V06_0012,"Marshall, Christopher",DIARY OF CHRISTOPHER MARSHALL [Philadelphia] August 1st .,Christopher Marshall,CHRISTOPHER MARSHALL,title,/TaggedPDF-doc/doc[12]/title/aut
NDAR_V06_0013,"Hamilton, John",CAPTAINS JOHN HAMILTON AND JAMES MONTGOMERY TO THE PENNSYLVANI,John Hamilton,JOHN HAMILTON,title,/TaggedPDF-doc/doc[13]/title/aut[1]
NDAR_V06_0013,"Montgomery, James",CAPTAINS JOHN HAMILTON AND JAMES MONTGOMERY TO THE PENNSYLVANIA COUNCIL OF SAFETY,James Montgomery,JAMES MONTGOMERY,title,/TaggedPDF-doc/doc[13]/title/aut[2]
NDAR_V06_0016,"Pope, Charles",CAPTAIN CHARLES POPE TO THOMAS RODNEY Dr Sir Wil,Charles Pope,CHARLES POPE,title,/TaggedPDF-doc/doc[16]/title/aut
NDAR_V06_0017,"Jr., Samuel Purviance,","SAMUEL PURVIANCE, JR. TO JOSEPH HEWES Dear Sir Ba","Samuel Purviance, Jr.","SAMUEL PURVIANCE, JR.",title,/TaggedPDF-doc/doc[17]/title/aut
