DOC_ID,CANONICAL,CONTEXT,FORMATTED,VERBATIM,CONTAINING_ELEMENT,PATH_TO_ELEMENT
NDAR_V04_0002,Senegal,Very cold. The captain of the SENEGAL has searched the brig Liberty and does,Senegal,Senegal,p,/TaggedPDF-doc/text/doc[2]/docBody/p/ship[1]
NDAR_V04_0002,Liberty (Brig),"in of the Senegal has searched the brig LIBERTY and does not find anything contraband,",Liberty,Liberty,p,/TaggedPDF-doc/text/doc[2]/docBody/p/ship[2]
NDAR_V04_0002,Senegal,Very cold. The captain of the SENEGAL has searched the brig Liberty and does,Senegal,Senegal,note,/TaggedPDF-doc/text/doc[2]/note/ship
NDAR_V04_0003,Lively,"JOURNAL OF H.M.S. LIVELY , CAPTAIN THOMAS BISHOP Febry 1",Lively,LIVELY,title,/TaggedPDF-doc/text/doc[3]/title/ship
NDAR_V04_0003,Tartar,"1/546. 2. The schooner was the TARTAR , Benjamin Warren, master, and William P",Tartar,Tartar,note,/TaggedPDF-doc/text/doc[3]/note/ship
NDAR_V04_0004,Rainbow (Sloop),sic 29th] day of January last the Sloop RAINBOW Lemuel Perkins Master loaded with Wood,Rainbow,Rainbow,p,/TaggedPDF-doc/text/doc[4]/docBody/p[1]/ship
NDAR_V04_0005,Rainbow (Sloop),EPORT OF SALEM COMMITTEE UPON THE SLOOP RAINBOW At a Meeting of the Committee,Rainbow,RAINBOW,title,/TaggedPDF-doc/text/doc[5]/title/ship
NDAR_V04_0005,Mermaid (Sloop),Committee &cIt appeared that the sloop MERMAID [sic Rainbow] commanded by Lemuel Perki,Mermaid,Mermaid,p2,/TaggedPDF-doc/text/doc[5]/docBody/p2[2]/ship[1]
NDAR_V04_0005,Rainbow,It appeared that the sloop Mermaid [sic RAINBOW ] commanded by Lemuel Perkins Sailed fro,Rainbow,Rainbow,p2,/TaggedPDF-doc/text/doc[5]/docBody/p2[2]/ship[2]
NDAR_V04_0005,Fowey,", vol. 194, 255-56½. 2. H.M.S. FOWEY took the Rainbow February 3, 1776.",Fowey,Fowey,note,/TaggedPDF-doc/text/doc[5]/note[1]/ship[1]
