JOHN LANGDON Memorandum	PERSON	of a Charter party of Affreightment Made and Concluded upon the first day of March A :D : 1777 by and between
Nahum Ward	PERSON	of
John Langdon	PERSON	of said
Portsmo Esqr	PERSON	agent for the Continent of the Other part Witnesseth that the Said
Ward	PERSON	-LRB- in behalf of himself & partners owners of the Schooner Friends Adventure -RRB- doth hereby let on Freight to the Said
Langdon	PERSON	the Said Schooner Friends Adventure & the Said
Langdon	PERSON	hath hired the Same on a Voyage to be perform 'd with
Said Schooner	PERSON	from the
Said Ward	PERSON	for himself & partners covenants and agrees with the
Said Langdon	PERSON	that said Schooner during said Voyage Shall be kept Staunch tight & every way fit for th -LSB- is -RSB- Purpose - and on her safe return to this port the
Said Langdon	PERSON	shall pay to the Said
Ward	PERSON	for the hire of the
Said Schooner	PERSON	at the rate of Eight Shillings P Ton P Month for each Ton that the Said Schooner Shall Measure according to Carpenters Tonnage & further one Shilling P Ton that Said Vessell shall Measure for the use of Extraordinary Sails which are put on board by said Owners provided the Said S -LSB- c -RSB- hooner shall perform the said Voyage without being lost or taken by the Enemy in which case the Said Owners Shall not be intitelled to any hire 1 .
John	PERSON	and
JOHN LANGDON	PERSON	TO CAPTAIN
JOSIAH SMITH Cap	PERSON	.
Josh Smith	PERSON
Langdon	PERSON	Agent for the States P S if
Callo Whipple	PERSON	should be at
Josiah Smith	PERSON	1 .
John Langdon	PERSON	Letter Book , Captain
J. G. M. Stone	PERSON	Private Collection ,
Nathan Jones	PERSON	& find the greater part of it to be a mixed medly of general Charges of said
Jones	PERSON	had any opportunity of Cross examining the Deponents and from some hints in the memorial the said
Jones	PERSON	, had been already heard upon some or all of them before
Henry Gardner Esqr	PERSON	Capt.
Browne	PERSON	& Capt Hosmore - That it appears by a Resolve of the
Sloop	PERSON	has been condemned in the said Court & an appeal has been made to the
David Sewall	PERSON	Read & Accepted .
William	PERSON	a lad of about fourteen Years of Age ; Also of
John Bowes	PERSON	late Master of the Snow
Ann	PERSON	and
John Noble	PERSON	a Passenger in said Snow .
Daniel McKay	PERSON	late Master of the Brig John and also of
Joseph Jackson	PERSON	late Master of the Brig desire , praying for permission to depart this State in a Brig whereof
John Jones	PERSON	is Master bound for
Cork	PERSON	.
John Curling	PERSON	with hi_s Son a lad about fourteen Years of Age be and they hereby are permitted to take Passage on board a Brig bound to
Cork John Jones	PERSON	Commander provided Mr
James Horlock	PERSON	-LRB- who lately had permission to go to
Samuel Holten	PERSON	&
Benjamin Austin Esqrs	PERSON	be a
John	PERSON	-RSB- Ayres Account respecting the
Matthew Lindsay	PERSON	of
Moulton	PERSON	setting forth that he has a Vessel ready for a Voyage to the
Matthew Lindsay	PERSON	be and hereby is permitted to proceed on a Voyage to the Island of
Bond	PERSON	with two Sureties in the Sum of One thousand pounds to import into this
Nathan Jones	PERSON	' difficulties with
ROBERT PORTER	PERSON	State of the
Robert Porter	PERSON	late Passenger on Board the
Jenkins	PERSON	bound for
John	PERSON	-RSB- Skimmer & brought into the Port of
Porter Robt Porter	PERSON	1 .
Cammy	PERSON	deliver Mr
Bruce	PERSON	for Ship Genl Lincoln four long Boat Oars & Four Yawl Oars - Order 'd That Mr
-LSB- Ellis	PERSON	-RSB-
Gray	PERSON	deliver Mr
Bruce	PERSON	one Bolt Canvas No 6 or 7 .
Hichborn	PERSON	deliver Mr
Bruce	PERSON	one Moses Boat for Ship Genl
Lincoln Capt Hopkins	PERSON	deliver 'd Honl Mr -LSB-
Thomas	PERSON	-RSB- Cushing the Cable P Ordr 14 Inst wt 43 .
Capt Harreden Uonathan Haraden	PERSON	-RSB- as many water Casks as he wants , also 2 m 10d & 2 m 20d Nails - Order 'd That Mr
Gray	PERSON	deliver Mr
Thomas	PERSON	Four Pieces English Duck & ten pounds Twine for Brig Tyrannicide - Order 'd The Corny deliver Mr
Thomas	PERSON	Two Pieces
Mr White	PERSON	all the perspective Glasses left , wch came in Bark John Order 'd The Commanding Officer at the Castle release & send up to Town the
RICHARD	PERSON
P Cent	PERSON	on the Returns & five P Cent on the sale & return of your
Briga	PERSON	together with a Customary priviledge home in proportion to the Burthen of the Vessell you come in .
Linnen	PERSON	100 Check ' t do 50,000 Flints 5
JAMES WARREN	PERSON	TO
SAMUEL PHILLIPS	PERSON	SAVAGE Sir .
Voayge	PERSON	.
McTomkin	PERSON	, but that I also hear is in one of five Counties in
Howe	PERSON	.
Joshua Bartlett Mr	PERSON	is safe Arrived at
Doctr Roberts	PERSON	to whom refer you for perticulars of the Sarsaparilla & Am with Respect -LSB- & c. -RSB-
J Warren	PERSON	-LSB- P. S. -RSB- I recd your several Letters by
Bartl	PERSON	-LSB- et -RSB- & shall Execute your orders as well as I possibly can 1 .
JOHN PAUL	PERSON	JONES Sir Onboard the Warren March 1st 1777 I receiv 'd yours P Express , and do absolutely think that it is Impracticable to get those Vessels fitted and
Mann	PERSON	'd for your proposed Expedition and Shall Acquaint the
Warren	PERSON	where you will be
John Hancock	PERSON	, and Miscellaneous Papers -RRB- , 58 , 197 , NA .
JOHN PAUL JONES	PERSON	Sir Providence March 1st 1777 The above is Copy of a paragraph of an Order I received from the hon
Alfred	PERSON	and
Alfred	PERSON	and
John Bradford Esqr	PERSON	as soon as possible - I am Sir -LSB- & c. -RSB-
John P. Jones Esqr	PERSON	at
John Hancock	PERSON	, and Miscellaneous Papers -RRB- , 58 , 193-94 , NA .
Hopkins	PERSON	also wrote to
Bradford	PERSON	this date asking him to see that
Jones	PERSON	complied ,
John Brown	PERSON	of
Joseph Clarke Esqr	PERSON	.
Joseph Clarke	PERSON	or to his Successors in said Office for the Use of said State To which Payment well and truly to be made I bind myself my Heirs Executors and Administrators , firmly by these Presents .
Joseph Tillinghast	PERSON	~ faster of the
John Brown	PERSON	is permitted by a Resolve of the Council of War of this State , to sail with said
Sloop	PERSON	for
Joseph Tillinghast	PERSON	shall proceed with said
Sloop	PERSON	and her Cargo to Hispaniola and shall within Eighteen Months after the Departure of said Sloop lodge in either of
Sloop	PERSON	was there unladed , and shall in all other respects during said Voyage comply with the Regulations and Restrictions which Vessels have heretofore been permitted to sail by said
John Brown	PERSON	Sealed · and delivered -RCB- wm T. 11 .
Elka Watson	PERSON	m the Presence of 1 .
Bonds	PERSON	, Masters of Vessels , vol .
R. I. Arch	PERSON	.
Joseph Almy	PERSON	of
Lydia	PERSON	,
Ezekiel Dennis	PERSON	, to whom permission to sail had been given on January 5th , 1777 , by the
Lydia	PERSON	's outward cargo was horses and fish .
Tyler	PERSON	, in the Spitfire galley , attended the landing , and gallantly sustained the enemy 's fire from a battery of six guns for several hours , which was briskly returned , but with what effect we have not yet learnt .
William Webb	PERSON	be appointed Paymaster to the
George	PERSON	, was only put up for Sale and she was bought by
Paul Cox	PERSON	for Eleven Hundred and Five pounds .
Richard Wells Junr	PERSON	presente , d a petition to the
Wells	PERSON	be continued to ply to
Hugh Montgomery	PERSON	of the
Sally	PERSON	2 be allowed Five pounds P Month .
William Richards	PERSON	Ordered to deliver to
John Annis	PERSON	5 pieces
Thomas -RSB- Townsend	PERSON	, Master .
John Hazlewood -LSB- Hazelwood	PERSON	-RSB- , an order from the Council of Safety on Dr
Wm Smith	PERSON	for 50 lb Salt Petre .
Sally	PERSON	,
Martin Wert	PERSON	, master .
Andrew Hodge	PERSON	's wharf , will carry about five hundred barrels of flour , and sails well .
John Somers	PERSON	, jun. at
Isaac Kay	PERSON	, Marshal .
RICHARD HENRY LEE	PERSON	TO ROBERT MORRIS Dear Sir ,
Randolph	PERSON	& the
Richard Henry Lee	PERSON	1 .
HOLTON JOHNSON	PERSON	TO THE
Hancock	PERSON	I have given up the thoughts of
Jing	PERSON	on hand and Tobacco wold be
Francis -RSB- Robins	PERSON	which out -LSB- sic was -RSB- master of A Brig from
Pliarne	PERSON	has Given me Orders to Consign the
Leve	PERSON	the bay before I have her Loded I will gow down in her to
Sune	PERSON	as possiable I shall do all in my power for the Interest of the Consernd all the Vessels that is Loded is gown Down to Try to Git out we here there is but one Man of War lays on the Tale of the Hors shew from -LSB- & c. -RSB- Ho , lton
Johnson	PERSON	1 .
John Calvert	PERSON	for One hundred and twenty pounds upon Account , for the purpose of Recruiting Seamen for the Naval service - Who gave
Bond	PERSON	for his faithfully applying the said Money and rendering a Just and true Account thereof .
CHARLES THOMAS Sir	PERSON	, Inclos 'd is a memorandum of Cordage which is wanting for the
Thomas Whiting	PERSON	1st Commr -LSB-
Thomas	PERSON	was superintendent of the
JOHN FORSTER	PERSON	TO GOVERNOR
RICHARD	PERSON	CASWELL Sir ,
Forster	PERSON	1 .
Richard Caswell	PERSON	, 1779-86 , Appendix 1777 , 338 , NCDAH .
